Rank,Class,ModelYear,Manufacturer,ModelName,VehicleType,Weight,DriveType,Transmission,Gears,FuelDelivery,Horsepower,EngineDisplacement,MPG_City,MPG_Hwy,AvgMPG
High,Truck,1996,GM,SONOMA 2WD,Pickup,3000,Rear,Manual,5,Port,118,134,22.3,29.6,25.6
High,Truck,1997,GM,S10 PICKUP 2WD,Pickup,3000,Rear,Manual,5,Port,118,134,22.2,29.5,25.5
High,Truck,1997,GM,SONOMA 2WD,Pickup,3000,Rear,Manual,5,Port,118,134,22.2,29.5,25.5
High,Truck,1998,Ford,RANGER ELECTRIC 2WD,Pickup,5000,Rear,Automatic with Lockup,4,Port,118,152,20.2,32.1,25.1
High,Truck,1999,GM,TRACKER 4X4 CONVERTIBLE,Truck SUV,3000,4wd,Manual,5,Port,97,97,23,26.3,24.7
High,Truck,2000,Ford,RANGER ELECTRIC 2WD,Pickup,5000,Rear,Automatic with Lockup,4,Port,118,153,19.9,31.3,24.8
High,Truck,2001,Ford,RANGER PICKUP 2WD,Pickup,3500,Rear,Manual,5,Port,138,140,21.7,25.5,23.6
High,Truck,2001,Mazda,B2300 2WD,Pickup,3500,Rear,Manual,5,Port,138,140,21.7,25.5,23.6
High,Truck,2002,GM,TRACKER 4WD HARDTOP,Truck SUV,3500,4wd,Automatic with Lockup,4,Port,141,118,22.9,28.6,25.8
High,Truck,2002,Suzuki,VITARA 4-DOOR 4WD,Truck SUV,3500,4wd,Automatic with Lockup,4,Port,141,118,22.9,28.6,25.8
High,Truck,2003,Ford,RANGER PICKUP 2WD,Pickup,3500,Rear,Manual,5,Port,140,140,21.4,26.4,23.9
High,Truck,2003,Mazda,B2300 2WD,Pickup,3500,Rear,Manual,5,Port,140,140,21.4,26.4,23.9
High,Truck,2004,Ford,RANGER PICKUP 2WD,Pickup,3500,Rear,Manual,5,Port,140,140,20.8,26.7,23.8
High,Truck,2004,Mazda,B2300 2WD,Pickup,3500,Rear,Manual,5,Port,140,140,20.8,26.7,23.8
High,Truck,2005,Ford,ESCAPE HEV 4WD,Truck SUV,4000,4wd,CVT,1,Port,135,140,28.1,26.3,27
High,Truck,2006,Ford,ESCAPE HYBRID 4WD,Truck SUV,4000,4wd,CVT,1,Port,135,140,28.1,26.3,27
High,Truck,2006,Ford,MARINER HYBRID 4WD,Truck SUV,4000,4wd,CVT,1,Port,135,140,28.1,26.3,27
High,Truck,2006,Mazda,TRIBUTE HYBRID 4WD,Truck SUV,4000,4wd,CVT,1,Port,135,140,28.1,26.3,27
High,Truck,2007,Ford,ESCAPE HYBRID 4WD,Truck SUV,4000,4wd,CVT,1,Port,133,140,27.6,26.7,27.1
High,Truck,2007,Ford,MARINER HYBRID 4WD,Truck SUV,4000,4wd,CVT,1,Port,133,140,27.6,26.7,27.1
High,Truck,2008,Ford,ESCAPE HYBRID 4WD,Truck SUV,4000,4wd,CVT,1,Port,133,140,29.3,27,27.9
High,Truck,2008,Ford,MARINER HYBRID 4WD,Truck SUV,4000,4wd,CVT,1,Port,133,140,29.3,27,27.9
High,Truck,2008,Mazda,TRIBUTE HYBRID 4WD,Truck SUV,4000,4wd,CVT,1,Port,133,140,29.3,27,27.9
High,Truck,2009,GM,VUE HYBRID,Truck SUV,4500,Front,CVT,1,GDI,262,218,26.7,29.7,28.3
High,Truck,2010,Mazda,TRIBUTE HYBRID 4WD,Truck SUV,4000,4wd,CVT,1,Port,155,153,30.6,27.4,28.7
High,Truck,2011,Ford,ESCAPE HYBRID 4WD,Truck SUV,4000,4wd,CVT,1,Port,155,153,30.1,26.9,28.2
High,Truck,2011,Ford,MARINER HYBRID 4WD,Truck SUV,4000,4wd,CVT,1,Port,155,153,30.1,26.9,28.2
High,Truck,2012,GM,C15 SIERRA 2WD HYBRID,Pickup,6000,Rear,CVT,1,Port,332,366,25.5,32.6,29.1
High,Truck,2012,GM,C15 SILVERADO 2WD HYBRID,Pickup,6000,Rear,CVT,1,Port,332,366,25.5,32.6,29.1
High,Truck,2012,GM,C1500 TAHOE 2WD HYBRID,Truck SUV,6000,Rear,CVT,1,Port,332,366,25.5,32.6,29.1
High,Truck,2012,GM,C1500 YUKON 2WD HYBRID,Truck SUV,6000,Rear,CVT,1,Port,332,366,25.5,32.6,29.1
High,Truck,2012,GM,ESCALADE 2WD HYBRID,Truck SUV,6000,Rear,CVT,1,Port,332,366,25.5,32.6,29.1
High,Truck,2013,Subaru,XV CROSSTREK AWD,Truck SUV,3500,4wd,CVT,1,Port,148,122,24.9,32,28.5
High,Truck,2014,Subaru,XV CROSSTREK AWD,Truck SUV,3500,4wd,CVT,1,Port,148,122,28.8,32.2,30.6
High,Truck,2015,Subaru,XV CROSSTREK HYBRID,Truck SUV,3500,4wd,CVT,1,Port,148,122,29.4,33.3,31.5
High,Truck,2016,Toyota,RAV4 HYBRID AWD,Truck SUV,4000,4wd,CVT,1,Port,112,152,34,30.3,31.8
High,Truck,2017,Stellantis,Pacifica Hybrid,Minivan/Van,5000,Front,CVT,1,Port,220,220,62.5,41.5,48.5
High,Truck,2018,Tesla,Model X 75D,Truck SUV,5500,4wd,Automatic,1,Electric,518,,91.2,95.4,93.5
High,Truck,2019,Tesla,Model X Standard Range,Truck SUV,5500,4wd,Automatic,1,Electric,534,,104.7,97.5,100.5
High,Truck,2020,Tesla,Model X Long Range Plus,Truck SUV,5500,4wd,Automatic,1,Electric,534,,108.4,100.7,103.9
High,Truck,2021,Tesla,Model Y Standard Range RWD,Truck SUV,4000,Rear,Automatic,1,Electric,280,,139.9,118.7,127
High,Truck,2022,Tesla,Model Y AWD,Truck SUV,4500,4wd,Automatic,1,Electric,809,,128.5,115.9,121
